Light;Light/Switch;A Lamp or Switch
WallSocket;Wall Socket;Power Wall Socket
TV;Television;Television Screen
Harddisk;Hard disk;Hard disk drive
Printer;Printer;Printer
Amplifier;Amplifier;Device that controls audio
Computer;Computer Laptop;Personal Computer System
Fan;Fan;Airflow Producer
Speaker;Speaker;Audio Speaker
Generic;Generic;Generic On/Off switch
Fireplace;Fireplace;Fireplace
Water;Water;Water
Media;Media Player;Multi Media player
Alarm;Alarm;Alarm
ChristmasTree;Christmas Tree;Christmas Tree
Heating;Heating;Heating device
Cooling;Cooling;Cooling device
ComputerPC;Computer PC;Personal Computer System
Phone;Phone;Mobile Phone
Sun;Sun;Sun
Rain;Rain;Rain
clock;Clock;Chronological device
Irrigation;Irrigation;Irrigation Zone
AC;Air Conditioner/HVAC;Air Conditioner/HVAC
Coffee;Coffee Machine;Coffee Machine
GLight;Garden Light;Garden Light
Strip;LED Strip;LED Strip
AirMeasure;Air Quality;Air Quality Measurement
WashingMachine;Washer/Dryer;Washing or Drying Machine
pool;Pool;Pool
Charger;Charger;Charger
Inverter;Inverter;Inverter
Solar;Solar Panels;Solar Panels
Soil;Soil;Soil Moisture Sensor
Window;Window;Window
Tap;Tap;Tap / Valve
Radiator;Radiator;Radiator
Pump;Pump;Pump / Ventilation
